"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3338","Successfully add product to cart from Product page","tests","Thu Nov 20 19:12:25 UTC 2025","passed","Thu Nov 20 19:12:29 UTC 2025","TestProductPage","product_page_tests","",""
"","4022","Successful switch to Desks Components and back","tests","Thu Nov 20 19:12:14 UTC 2025","passed","Thu Nov 20 19:12:18 UTC 2025","TestDesksPage","desks_tests","",""
"","4347","Successful search by key words in Desks category","tests","Thu Nov 20 19:12:06 UTC 2025","passed","Thu Nov 20 19:12:10 UTC 2025","TestDesksPage","desks_tests","",""
"","4227","Successfully add product to cart by hover button","tests","Thu Nov 20 19:12:10 UTC 2025","passed","Thu Nov 20 19:12:14 UTC 2025","TestCartPage","cart_tests","",""
"","7332","Sort desks - Price - High to Low","tests","Thu Nov 20 19:12:19 UTC 2025","passed","Thu Nov 20 19:12:26 UTC 2025","TestDesksPage","desks_tests","",""
"","1063","Successfully remove product from cart","tests","Thu Nov 20 19:12:17 UTC 2025","passed","Thu Nov 20 19:12:18 UTC 2025","TestCartPage","cart_tests","",""
"","3697","Successful search by key words in Desks category","tests","Thu Nov 20 19:12:11 UTC 2025","passed","Thu Nov 20 19:12:15 UTC 2025","TestDesksPage","desks_tests","",""
"","217","Successfully search products by their titles on Product page","tests","Thu Nov 20 19:12:31 UTC 2025","passed","Thu Nov 20 19:12:31 UTC 2025","TestProductPage","product_page_tests","",""
"","7553","Sort desks - Price - Low to High","tests","Thu Nov 20 19:12:15 UTC 2025","passed","Thu Nov 20 19:12:23 UTC 2025","TestDesksPage","desks_tests","",""
"","341","Successfully search products by their titles on Product page","tests","Thu Nov 20 19:12:25 UTC 2025","passed","Thu Nov 20 19:12:25 UTC 2025","TestProductPage","product_page_tests","",""
"","4212","Successful search by key words in Desks category","tests","Thu Nov 20 19:12:06 UTC 2025","passed","Thu Nov 20 19:12:10 UTC 2025","TestDesksPage","desks_tests","",""
"","7245","Sort desks - Name (A-Z)","tests","Thu Nov 20 19:12:15 UTC 2025","passed","Thu Nov 20 19:12:23 UTC 2025","TestDesksPage","desks_tests","",""
"","1366","Product has all the necessary details","tests","Thu Nov 20 19:12:21 UTC 2025","passed","Thu Nov 20 19:12:22 UTC 2025","TestProductPage","product_page_tests","",""
"","213","Successfully search products by their titles on Product page","tests","Thu Nov 20 19:12:29 UTC 2025","passed","Thu Nov 20 19:12:29 UTC 2025","TestProductPage","product_page_tests","",""
"","5485","Successfully add product to cart by hover button","tests","Thu Nov 20 19:12:06 UTC 2025","passed","Thu Nov 20 19:12:12 UTC 2025","TestCartPage","cart_tests","",""
"","4060","Successful search by key words in Desks category","tests","Thu Nov 20 19:12:11 UTC 2025","passed","Thu Nov 20 19:12:15 UTC 2025","TestDesksPage","desks_tests","",""
"","2981","Empty Cart page has all the necessary details","tests","Thu Nov 20 19:12:06 UTC 2025","passed","Thu Nov 20 19:12:09 UTC 2025","TestCartPage","cart_tests","",""
"","3326","Successfully add product to cart from Product page","tests","Thu Nov 20 19:12:25 UTC 2025","passed","Thu Nov 20 19:12:28 UTC 2025","TestProductPage","product_page_tests","",""
"","390","Successfully search products by their titles on Product page","tests","Thu Nov 20 19:12:28 UTC 2025","passed","Thu Nov 20 19:12:29 UTC 2025","TestProductPage","product_page_tests","",""
