"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3218","Successfully add product to cart from Product page","tests","Sat Nov 15 18:48:44 UTC 2025","passed","Sat Nov 15 18:48:47 UTC 2025","TestProductPage","product_page_tests","",""
"","271","Successfully search products by their titles on Product page","tests","Sat Nov 15 18:48:50 UTC 2025","passed","Sat Nov 15 18:48:50 UTC 2025","TestProductPage","product_page_tests","",""
"","252","Successfully search products by their titles on Product page","tests","Sat Nov 15 18:48:48 UTC 2025","passed","Sat Nov 15 18:48:48 UTC 2025","TestProductPage","product_page_tests","",""
"","4150","Successful search by key words in Desks category","tests","Sat Nov 15 18:48:24 UTC 2025","passed","Sat Nov 15 18:48:28 UTC 2025","TestDesksPage","desks_tests","",""
"","5811","Successfully add product to cart by hover button","tests","Sat Nov 15 18:48:24 UTC 2025","passed","Sat Nov 15 18:48:30 UTC 2025","TestCartPage","cart_tests","",""
"","7554","Sort desks - Price - Low to High","tests","Sat Nov 15 18:48:34 UTC 2025","passed","Sat Nov 15 18:48:41 UTC 2025","TestDesksPage","desks_tests","",""
"","4096","Successful search by key words in Desks category","tests","Sat Nov 15 18:48:29 UTC 2025","passed","Sat Nov 15 18:48:33 UTC 2025","TestDesksPage","desks_tests","",""
"","395","Successfully search products by their titles on Product page","tests","Sat Nov 15 18:48:46 UTC 2025","passed","Sat Nov 15 18:48:46 UTC 2025","TestProductPage","product_page_tests","",""
"","5249","Successfully add product to cart by hover button","tests","Sat Nov 15 18:48:28 UTC 2025","passed","Sat Nov 15 18:48:33 UTC 2025","TestCartPage","cart_tests","",""
"","4510","Successful switch to Desks Components and back","tests","Sat Nov 15 18:48:33 UTC 2025","passed","Sat Nov 15 18:48:38 UTC 2025","TestDesksPage","desks_tests","",""
"","2777","Empty Cart page has all the necessary details","tests","Sat Nov 15 18:48:24 UTC 2025","passed","Sat Nov 15 18:48:27 UTC 2025","TestCartPage","cart_tests","",""
"","995","Successfully remove product from cart","tests","Sat Nov 15 18:48:36 UTC 2025","passed","Sat Nov 15 18:48:37 UTC 2025","TestCartPage","cart_tests","",""
"","4035","Successful search by key words in Desks category","tests","Sat Nov 15 18:48:29 UTC 2025","passed","Sat Nov 15 18:48:33 UTC 2025","TestDesksPage","desks_tests","",""
"","2341","Product has all the necessary details","tests","Sat Nov 15 18:48:41 UTC 2025","passed","Sat Nov 15 18:48:43 UTC 2025","TestProductPage","product_page_tests","",""
"","4326","Successful search by key words in Desks category","tests","Sat Nov 15 18:48:24 UTC 2025","passed","Sat Nov 15 18:48:28 UTC 2025","TestDesksPage","desks_tests","",""
"","7351","Sort desks - Price - High to Low","tests","Sat Nov 15 18:48:37 UTC 2025","passed","Sat Nov 15 18:48:45 UTC 2025","TestDesksPage","desks_tests","",""
"","3251","Successfully add product to cart from Product page","tests","Sat Nov 15 18:48:44 UTC 2025","passed","Sat Nov 15 18:48:47 UTC 2025","TestProductPage","product_page_tests","",""
"","244","Successfully search products by their titles on Product page","tests","Sat Nov 15 18:48:50 UTC 2025","passed","Sat Nov 15 18:48:50 UTC 2025","TestProductPage","product_page_tests","",""
"","7711","Sort desks - Name (A-Z)","tests","Sat Nov 15 18:48:33 UTC 2025","passed","Sat Nov 15 18:48:41 UTC 2025","TestDesksPage","desks_tests","",""
